#Time [s],ICA_R [ml/min],#Time [s],ICA_L [ml/min],#Time [s],VA_R [ml/min],#Time [s],VA_L [ml/min]
0,217.2,0,226.2,0,57,0,114
0.053,206.4,0.053,208.2,0.06,54,0.061,100.2
0.106,184.8,0.106,196.2,0.12,47.4,0.122,92.4
0.159,175.8,0.159,186.6,0.18,47.4,0.183,90
0.212,160.8,0.212,181.2,0.24,46.2,0.244,82.2
0.265,163.8,0.265,184.8,0.3,42.6,0.305,82.2
0.317,293.4,0.317,289.2,0.36,41.4,0.366,94.8
0.37,423.6,0.37,414.6,0.42,73.8,0.426,129
0.423,366,0.423,363,0.48,96,0.487,154.2
0.476,303,0.476,295.8,0.54,77.4,0.548,139.2
0.529,269.4,0.529,266.4,0.6,74.4,0.609,139.8
0.582,234,0.582,236.4,0.66,67.2,0.67,130.2
0.635,234,0.635,241.2,0.72,52.2,0.731,123
0.688,255.6,0.688,258.6,0.78,56.4,0.792,130.8
0.741,232.8,0.741,244.2,0.84,64.2,0.853,119.4
0.794,217.2,0.794,226.2,0.9,57,0.913,114